year_month,bank_rate,geo_name,source_note
2021-03,0.1,UK,Bank Rate in force at month end
2021-04,0.1,UK,Bank Rate in force at month end
2021-05,0.1,UK,Bank Rate in force at month end
2021-06,0.1,UK,Bank Rate in force at month end
2021-07,0.1,UK,Bank Rate in force at month end
2021-08,0.1,UK,Bank Rate in force at month end
2021-09,0.1,UK,Bank Rate in force at month end
2021-10,0.1,UK,Bank Rate in force at month end
2021-11,0.1,UK,Bank Rate in force at month end
2021-12,0.25,UK,Bank Rate in force at month end
2022-01,0.25,UK,Bank Rate in force at month end
2022-02,0.5,UK,Bank Rate in force at month end
2022-03,0.75,UK,Bank Rate in force at month end
2022-04,0.75,UK,Bank Rate in force at month end
2022-05,1.0,UK,Bank Rate in force at month end
2022-06,1.25,UK,Bank Rate in force at month end
2022-07,1.25,UK,Bank Rate in force at month end
2022-08,1.75,UK,Bank Rate in force at month end
2022-09,2.25,UK,Bank Rate in force at month end
2022-10,2.25,UK,Bank Rate in force at month end
2022-11,3.0,UK,Bank Rate in force at month end
2022-12,3.5,UK,Bank Rate in force at month end
2023-01,3.5,UK,Bank Rate in force at month end
2023-02,4.0,UK,Bank Rate in force at month end
2023-03,4.25,UK,Bank Rate in force at month end
2023-04,4.25,UK,Bank Rate in force at month end
2023-05,4.5,UK,Bank Rate in force at month end
2023-06,5.0,UK,Bank Rate in force at month end
2023-07,5.0,UK,Bank Rate in force at month end
2023-08,5.25,UK,Bank Rate in force at month end
2023-09,5.25,UK,Bank Rate in force at month end
2023-10,5.25,UK,Bank Rate in force at month end
2023-11,5.25,UK,Bank Rate in force at month end
2023-12,5.25,UK,Bank Rate in force at month end
2024-01,5.25,UK,Bank Rate in force at month end
2024-02,5.25,UK,Bank Rate in force at month end
2024-03,5.25,UK,Bank Rate in force at month end
2024-04,5.25,UK,Bank Rate in force at month end
2024-05,5.25,UK,Bank Rate in force at month end
2024-06,5.25,UK,Bank Rate in force at month end
2024-07,5.25,UK,Bank Rate in force at month end
2024-08,5.0,UK,Bank Rate in force at month end
2024-09,5.0,UK,Bank Rate in force at month end
2024-10,5.0,UK,Bank Rate in force at month end
2024-11,4.75,UK,Bank Rate in force at month end
2024-12,4.75,UK,Bank Rate in force at month end
2025-01,4.75,UK,Bank Rate in force at month end
2025-02,4.5,UK,Bank Rate in force at month end
2025-03,4.5,UK,Bank Rate in force at month end
2025-04,4.5,UK,Bank Rate in force at month end
2025-05,4.25,UK,Bank Rate in force at month end
2025-06,4.25,UK,Bank Rate in force at month end
2025-07,4.25,UK,Bank Rate in force at month end
2025-08,4.0,UK,Bank Rate in force at month end
2025-09,4.0,UK,Bank Rate in force at month end
2025-10,4.0,UK,Bank Rate in force at month end
2025-11,4.0,UK,Bank Rate in force at month end
2025-12,3.75,UK,Bank Rate in force at month end
2026-01,3.75,UK,Bank Rate in force at month end
