year_month,house_price_index,geo_name,source_note
2021-02,87.8,UK,UK HPI index for United Kingdom
2021-03,89.1,UK,UK HPI index for United Kingdom
2021-04,87.8,UK,UK HPI index for United Kingdom
2021-05,88.3,UK,UK HPI index for United Kingdom
2021-06,93.0,UK,UK HPI index for United Kingdom
2021-07,88.7,UK,UK HPI index for United Kingdom
2021-08,91.4,UK,UK HPI index for United Kingdom
2021-09,94.0,UK,UK HPI index for United Kingdom
2021-10,91.7,UK,UK HPI index for United Kingdom
2021-11,93.5,UK,UK HPI index for United Kingdom
2021-12,94.0,UK,UK HPI index for United Kingdom
2022-01,95.1,UK,UK HPI index for United Kingdom
2022-02,95.2,UK,UK HPI index for United Kingdom
2022-03,95.5,UK,UK HPI index for United Kingdom
2022-04,96.6,UK,UK HPI index for United Kingdom
2022-05,97.7,UK,UK HPI index for United Kingdom
2022-06,98.9,UK,UK HPI index for United Kingdom
2022-07,100.8,UK,UK HPI index for United Kingdom
2022-08,101.6,UK,UK HPI index for United Kingdom
2022-09,101.8,UK,UK HPI index for United Kingdom
2022-10,101.8,UK,UK HPI index for United Kingdom
2022-11,101.7,UK,UK HPI index for United Kingdom
2022-12,100.9,UK,UK HPI index for United Kingdom
2023-01,100.0,UK,UK HPI index for United Kingdom
2023-02,99.2,UK,UK HPI index for United Kingdom
2023-03,98.1,UK,UK HPI index for United Kingdom
2023-04,98.3,UK,UK HPI index for United Kingdom
2023-05,98.6,UK,UK HPI index for United Kingdom
2023-06,99.0,UK,UK HPI index for United Kingdom
2023-07,100.1,UK,UK HPI index for United Kingdom
2023-08,100.6,UK,UK HPI index for United Kingdom
2023-09,100.1,UK,UK HPI index for United Kingdom
2023-10,99.7,UK,UK HPI index for United Kingdom
2023-11,99.0,UK,UK HPI index for United Kingdom
2023-12,98.2,UK,UK HPI index for United Kingdom
2024-01,98.1,UK,UK HPI index for United Kingdom
2024-02,97.6,UK,UK HPI index for United Kingdom
2024-03,97.8,UK,UK HPI index for United Kingdom
2024-04,98.3,UK,UK HPI index for United Kingdom
2024-05,99.1,UK,UK HPI index for United Kingdom
2024-06,99.5,UK,UK HPI index for United Kingdom
2024-07,100.6,UK,UK HPI index for United Kingdom
2024-08,101.6,UK,UK HPI index for United Kingdom
2024-09,101.5,UK,UK HPI index for United Kingdom
2024-10,101.7,UK,UK HPI index for United Kingdom
2024-11,101.4,UK,UK HPI index for United Kingdom
2024-12,101.2,UK,UK HPI index for United Kingdom
2025-01,101.5,UK,UK HPI index for United Kingdom
2025-02,101.4,UK,UK HPI index for United Kingdom
2025-03,102.8,UK,UK HPI index for United Kingdom
2025-04,99.9,UK,UK HPI index for United Kingdom
2025-05,101.3,UK,UK HPI index for United Kingdom
2025-06,102.5,UK,UK HPI index for United Kingdom
2025-07,103.4,UK,UK HPI index for United Kingdom
2025-08,104.1,UK,UK HPI index for United Kingdom
2025-09,103.7,UK,UK HPI index for United Kingdom
2025-10,103.7,UK,UK HPI index for United Kingdom
2025-11,104.3,UK,UK HPI index for United Kingdom
2025-12,103.1,UK,UK HPI index for United Kingdom
2026-01,102.9,UK,UK HPI index for United Kingdom
