year_month,inflation_rate,geo_name,source_note
2021-03,1.0,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-04,1.6,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-05,2.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-06,2.4,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-07,2.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-08,3.0,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-09,2.9,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-10,3.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-11,4.6,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2021-12,4.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-01,4.9,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-02,5.5,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-03,6.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-04,7.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-05,7.9,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-06,8.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-07,8.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-08,8.6,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-09,8.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-10,9.6,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-11,9.3,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2022-12,9.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-01,8.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-02,9.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-03,8.9,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-04,7.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-05,7.9,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-06,7.3,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-07,6.4,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-08,6.3,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-09,6.3,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-10,4.7,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-11,4.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2023-12,4.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-01,4.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-02,3.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-03,3.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-04,3.0,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-05,2.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-06,2.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-07,3.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-08,3.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-09,2.6,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-10,3.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-11,3.5,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2024-12,3.5,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-01,3.9,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-02,3.7,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-03,3.4,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-04,4.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-05,4.0,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-06,4.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-07,4.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-08,4.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-09,4.1,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-10,3.8,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-11,3.5,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2025-12,3.6,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2026-01,3.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
2026-02,3.2,UK,"ONS MM23 CPIH annual rate, all items (2015=100)"
