year_month,inflation_rate,house_price_index,bank_rate,unemployment_rate,geo_name,source_note
2021-03,1.0,89.1,0.1,4.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-04,1.6,87.8,0.1,4.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-05,2.1,88.3,0.1,4.7,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-06,2.4,93.0,0.1,4.6,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-07,2.1,88.7,0.1,4.5,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-08,3.0,91.4,0.1,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-09,2.9,94.0,0.1,4.3,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-10,3.8,91.7,0.1,4.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-11,4.6,93.5,0.1,4.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2021-12,4.8,94.0,0.25,4.1,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-01,4.9,95.1,0.25,3.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-02,5.5,95.2,0.5,3.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-03,6.2,95.5,0.75,3.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-04,7.8,96.6,0.75,3.7,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-05,7.9,97.7,1.0,3.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-06,8.2,98.9,1.25,3.6,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-07,8.8,100.8,1.25,3.6,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-08,8.6,101.6,1.75,3.7,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-09,8.8,101.8,2.25,3.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-10,9.6,101.8,2.25,3.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-11,9.3,101.7,3.0,3.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2022-12,9.2,100.9,3.5,3.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-01,8.8,100.0,3.5,4.0,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-02,9.2,99.2,4.0,4.0,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-03,8.9,98.1,4.25,3.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-04,7.8,98.3,4.25,4.0,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-05,7.9,98.6,4.5,4.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-06,7.3,99.0,5.0,4.3,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-07,6.4,100.1,5.0,4.3,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-08,6.3,100.6,5.25,4.1,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-09,6.3,100.1,5.25,4.0,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-10,4.7,99.7,5.25,4.0,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-11,4.2,99.0,5.25,3.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2023-12,4.2,98.2,5.25,4.1,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-01,4.2,98.1,5.25,4.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-02,3.8,97.6,5.25,4.3,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-03,3.8,97.8,5.25,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-04,3.0,98.3,5.25,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-05,2.8,99.1,5.25,4.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-06,2.8,99.5,5.25,4.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-07,3.1,100.6,5.25,4.1,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-08,3.1,101.6,5.0,4.3,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-09,2.6,101.5,5.0,4.3,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-10,3.2,101.7,5.0,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-11,3.5,101.4,4.75,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2024-12,3.5,101.2,4.75,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-01,3.9,101.5,4.75,4.4,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-02,3.7,101.4,4.5,4.5,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-03,3.4,102.8,4.5,4.6,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-04,4.1,99.9,4.5,4.7,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-05,4.0,101.3,4.25,4.7,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-06,4.1,102.5,4.25,4.7,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-07,4.2,103.4,4.25,4.8,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-08,4.1,104.1,4.0,5.0,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-09,4.1,103.7,4.0,5.1,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-10,3.8,103.7,4.0,5.1,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-11,3.5,104.3,4.0,5.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2025-12,3.6,103.1,3.75,5.2,UK,Merged monthly macro dataset from official ONS and Bank of England sources
2026-01,3.2,102.9,3.75,4.9,UK,Merged monthly macro dataset from official ONS and Bank of England sources
