year_month,house_price_index,inflation_rate_lag1,unemployment_rate_lag1,bank_rate_lag1,bank_rate_lag3
2021-06-01,93.0,2.1,4.7,0.1,0.1
2021-07-01,88.7,2.4,4.6,0.1,0.1
2021-08-01,91.4,2.1,4.5,0.1,0.1
2021-09-01,94.0,3.0,4.4,0.1,0.1
2021-10-01,91.7,2.9,4.3,0.1,0.1
2021-11-01,93.5,3.8,4.2,0.1,0.1
2021-12-01,94.0,4.6,4.2,0.1,0.1
2022-01-01,95.1,4.8,4.1,0.25,0.1
2022-02-01,95.2,4.9,3.9,0.25,0.1
2022-03-01,95.5,5.5,3.8,0.5,0.25
2022-04-01,96.6,6.2,3.8,0.75,0.25
2022-05-01,97.7,7.8,3.7,0.75,0.5
2022-06-01,98.9,7.9,3.8,1.0,0.75
2022-07-01,100.8,8.2,3.6,1.25,0.75
2022-08-01,101.6,8.8,3.6,1.25,1.0
2022-09-01,101.8,8.6,3.7,1.75,1.25
2022-10-01,101.8,8.8,3.8,2.25,1.25
2022-11-01,101.7,9.6,3.9,2.25,1.75
2022-12-01,100.9,9.3,3.9,3.0,2.25
2023-01-01,100.0,9.2,3.9,3.5,2.25
2023-02-01,99.2,8.8,4.0,3.5,3.0
2023-03-01,98.1,9.2,4.0,4.0,3.5
2023-04-01,98.3,8.9,3.9,4.25,3.5
2023-05-01,98.6,7.8,4.0,4.25,4.0
2023-06-01,99.0,7.9,4.2,4.5,4.25
2023-07-01,100.1,7.3,4.3,5.0,4.25
2023-08-01,100.6,6.4,4.3,5.0,4.5
2023-09-01,100.1,6.3,4.1,5.25,5.0
2023-10-01,99.7,6.3,4.0,5.25,5.0
2023-11-01,99.0,4.7,4.0,5.25,5.25
2023-12-01,98.2,4.2,3.9,5.25,5.25
2024-01-01,98.1,4.2,4.1,5.25,5.25
2024-02-01,97.6,4.2,4.2,5.25,5.25
2024-03-01,97.8,3.8,4.3,5.25,5.25
2024-04-01,98.3,3.8,4.4,5.25,5.25
2024-05-01,99.1,3.0,4.4,5.25,5.25
2024-06-01,99.5,2.8,4.2,5.25,5.25
2024-07-01,100.6,2.8,4.2,5.25,5.25
2024-08-01,101.6,3.1,4.1,5.25,5.25
2024-09-01,101.5,3.1,4.3,5.0,5.25
2024-10-01,101.7,2.6,4.3,5.0,5.25
2024-11-01,101.4,3.2,4.4,5.0,5.0
2024-12-01,101.2,3.5,4.4,4.75,5.0
2025-01-01,101.5,3.5,4.4,4.75,5.0
2025-02-01,101.4,3.9,4.4,4.75,4.75
2025-03-01,102.8,3.7,4.5,4.5,4.75
2025-04-01,99.9,3.4,4.6,4.5,4.75
2025-05-01,101.3,4.1,4.7,4.5,4.5
2025-06-01,102.5,4.0,4.7,4.25,4.5
2025-07-01,103.4,4.1,4.7,4.25,4.5
2025-08-01,104.1,4.2,4.8,4.25,4.25
2025-09-01,103.7,4.1,5.0,4.0,4.25
2025-10-01,103.7,4.1,5.1,4.0,4.25
2025-11-01,104.3,3.8,5.1,4.0,4.0
2025-12-01,103.1,3.5,5.2,4.0,4.0
2026-01-01,102.9,3.6,5.2,3.75,4.0
